BF,dataset,dim,size,nonlinearity,mean,harmonic_mean,standard_deviation,median,MSE_PRSM_1,RMSE_PRSM_1,MAE_PRSM_1,MSE_PRSM_2,RMSE_PRSM_2,MAE_PRSM_2,gradient1,gradient2,gradient3,gradient4
BF32,BF32_5,2,60,0.881790125,-1.57E-16,-0.557262587,1,-0.21731044,0.986026425,0.992988633,0.815602327,3.81E-10,1.95E-05,1.51E-05,-0.01197376,0.003822403,0.175029817,0.00026149
BF32,BF32_6,2,72,0.829456518,3.08E-16,1.107018014,1,-0.254962302,0.970914921,0.985350151,0.815654112,3.78E-10,1.94E-05,1.54E-05,6.57E-05,0.008082651,0.133795989,3.97E-06
BF32,BF32_7,2,84,0.940733222,2.50E-16,0.644404714,1,-0.107752217,0.996487449,0.99824218,0.815950373,5.45E-10,2.33E-05,1.94E-05,0.006829314,0.008071379,0.141152875,0.000390513
BF32,BF32_8,2,96,0.923210663,6.25E-17,-0.362755636,1,-0.071845291,0.994103398,0.99704734,0.86298579,5.01E-10,2.24E-05,1.85E-05,0.006962311,0.002895999,0.114925694,0.000175442
BF32,BF32_9,2,108,0.971941051,-1.19E-16,-38.1501482,1,-0.042616075,0.999212695,0.99960627,0.826991846,4.66E-10,2.16E-05,1.72E-05,0.008962325,0.01963515,0.127386658,0.001381437
BF32,BF32_10,2,120,0.923222632,9.99E-17,-3.241155851,1,-0.094000182,0.994105236,0.997048262,0.84391589,4.67E-10,2.16E-05,1.79E-05,0.000556806,0.009591795,0.120925945,4.42E-05
BF33,BF33_1,2,12,0.649152035,5.55E-17,-0.972371862,1,0.051980965,0.876905706,0.936432435,0.79996486,5.46E-10,2.34E-05,2.08E-05,-0.0113618,0.094083776,0.318214011,0.003359252
BF33,BF33_2,2,24,0.71854256,0,3.978877218,1,-0.32658016,0.920781709,0.959573712,0.795990017,7.51E-10,2.74E-05,2.26E-05,-0.033791867,0.002409009,0.2457281,0.00033128
BF33,BF33_3,2,36,0.964128465,5.00E-16,-0.188008875,1,-0.117239547,0.998713233,0.999356409,0.85280598,9.02E-10,3.00E-05,2.57E-05,0.020450757,0.038126198,0.240383767,0.003243604
BF33,BF33_4,2,48,0.75913345,-5.09E-17,-0.576865568,1,-0.168687504,0.941983305,0.970558244,0.814962333,9.28E-10,3.05E-05,2.68E-05,0.003610034,0.013849622,0.187898856,0.000266088
BF33,BF33_5,2,60,0.936312251,-2.33E-16,1.112888081,1,-0.157750116,0.995943871,0.997969875,0.848451192,8.44E-10,2.91E-05,2.51E-05,0.017752162,0.005870572,0.143890346,0.000724269
BF33,BF33_6,2,72,0.953105005,1.05E-16,0.052669996,1,-0.104753603,0.997800859,0.998899825,0.82286535,1.04E-09,3.22E-05,2.80E-05,0.004211484,0.002794061,0.16433545,7.16E-05
